customer_id,transaction_id,amount,new_device_event,location_change_event,high_value_event
C00000,1,368.65,0,0,0
C00000,2,294.43,0,0,0
C00000,3,481.86,0,0,0
C00000,4,355.65,0,0,0
C00000,5,520.89,0,0,0
C00000,6,460.31,0,0,0
C00000,7,561.28,0,0,0
C00000,8,372.8,0,0,0
C00000,9,348.19,0,0,0
C00000,10,531.28,0,0,0
C00001,1,196.62,0,0,0
C00001,2,172.51,0,0,0
C00001,3,278.54,0,0,0
C00001,4,134.43,0,0,0
C00001,5,112.17,0,0,0
C00001,6,95.97,0,0,0
C00001,7,112.34,0,0,0
C00001,8,259.82,0,0,0
C00001,9,80.76,0,0,0
C00002,1,635.21,0,0,0
C00002,2,659.54,0,0,0
C00002,3,423.39,0,0,0
C00002,4,657.05,0,0,0
C00002,5,361.1,0,0,0
C00002,6,597.59,0,0,0
C00002,7,385.01,0,0,0
C00002,8,551.23,0,0,0
C00002,9,663.01,0,0,0
C00003,1,292.48,0,0,0
C00003,2,705.28,0,0,0
C00003,3,950.77,0,0,0
C00003,4,212.77,0,0,0
C00003,5,171.12,0,0,0
C00003,6,186.56,0,0,0
C00003,7,474.32,0,0,0
C00003,8,699.17,0,0,0
C00004,1,242.66,0,0,0
C00004,2,25.11,0,0,0
C00004,3,165.03,0,0,0
C00004,4,111.26,0,0,0
C00004,5,33.09,0,0,0
C00004,6,111.99,0,0,0
C00004,7,178.45,0,0,0
C00004,8,127.95,0,0,0
C00005,1,247.42,0,0,0
C00005,2,232.74,0,0,0
C00005,3,299.25,0,0,0
C00005,4,244.18,0,0,0
C00005,5,252.03,0,0,0
C00005,6,326.6,0,0,0
C00005,7,299.05,0,0,0
C00006,1,297.03,0,0,0
C00006,2,437.35,0,0,0
C00006,3,499.54,0,0,0
C00006,4,502.54,0,0,0
C00006,5,386.95,0,0,0
C00006,6,418.61,0,0,0
C00007,1,333.65,0,0,0
C00007,2,227.24,0,0,0
C00007,3,233.34,0,0,0
C00007,4,307.72,0,0,0
C00007,5,394.0,0,0,0
C00007,6,330.28,0,0,0
C00008,1,480.28,0,0,0
C00008,2,411.73,0,0,0
C00008,3,22.76,0,0,0
C00008,4,287.9,0,0,0
C00008,5,317.66,0,0,0
C00008,6,87.24,0,0,0
C00008,7,422.1,0,0,0
C00009,1,264.77,0,0,0
C00009,2,5.18,0,0,0
C00009,3,331.22,0,0,0
C00009,4,417.79,0,0,0
C00009,5,434.92,0,0,0
C00009,6,278.32,0,0,0
C00009,7,330.94,0,0,0
C00009,8,176.04,0,0,0
C00010,1,421.21,0,0,0
C00010,2,518.66,0,0,0
C00010,3,470.9,0,0,0
C00010,4,538.13,0,0,0
C00010,5,449.16,0,0,0
C00010,6,549.02,0,0,0
C00010,7,424.79,0,0,0
C00010,8,480.9,0,0,0
C00010,9,486.35,0,0,0
C00011,1,527.66,0,0,0
C00011,2,570.83,0,0,0
C00011,3,503.27,0,0,0
C00011,4,218.47,0,0,0
C00011,5,695.32,0,0,0
C00011,6,572.7,0,0,0
C00011,7,396.66,0,0,0
C00011,8,397.36,0,0,0
C00011,9,519.49,0,0,0
C00011,10,898.3,1,0,0
C00012,1,149.38,0,0,0
C00012,2,240.69,0,0,0
C00012,3,261.93,0,0,0
C00012,4,93.25,0,0,0
C00012,5,206.81,0,0,0
C00012,6,288.29,0,0,0
C00012,7,287.74,0,0,0
C00012,8,265.15,0,0,0
C00012,9,254.14,0,0,0
C00013,1,1133.76,0,0,0
C00013,2,1076.73,0,0,0
C00013,3,472.7,0,0,0
C00013,4,646.14,0,0,0
C00013,5,1008.68,0,0,0
C00013,6,1247.31,0,0,0
C00013,7,1126.08,0,0,0
C00013,8,848.06,1,0,0
C00014,1,225.67,0,0,0
C00014,2,349.69,0,0,0
C00014,3,249.36,0,0,0
C00014,4,303.32,0,0,0
C00014,5,255.24,0,0,0
C00014,6,290.39,0,0,0
C00014,7,314.09,0,0,0
C00014,8,262.25,0,0,0
C00014,9,255.17,0,0,0
C00014,10,289.19,0,0,0
C00015,1,386.43,0,0,0
C00015,2,394.05,0,0,0
C00015,3,116.55,0,0,0
C00015,4,147.25,0,0,0
C00015,5,600.44,0,0,0
C00015,6,275.02,0,0,0
C00015,7,455.58,0,0,0
C00015,8,515.26,0,0,0
C00015,9,165.71,0,0,0
C00015,10,326.01,0,0,0
C00016,1,630.83,0,0,0
C00016,2,37.38,0,0,0
C00016,3,467.28,0,0,0
C00016,4,431.14,0,0,0
C00016,5,527.45,0,0,0
C00016,6,216.23,0,0,0
C00016,7,825.69,0,0,0
C00016,8,707.3,1,0,0
C00017,1,382.91,0,0,0
C00017,2,331.92,0,0,0
C00017,3,319.81,0,0,0
C00017,4,288.38,0,0,0
C00017,5,302.28,0,0,0
C00017,6,275.06,0,0,0
C00017,7,337.06,0,0,0
C00017,8,267.67,0,0,0
C00018,1,579.73,0,0,0
C00018,2,176.06,0,0,0
C00018,3,78.48,0,0,0
C00018,4,744.84,0,0,0
C00018,5,330.81,0,0,0
C00018,6,514.23,0,0,0
C00018,7,633.02,0,0,0
C00018,8,751.63,0,0,0
C00019,1,323.33,0,0,0
C00019,2,323.06,0,0,0
C00019,3,276.51,0,0,0
C00019,4,266.96,0,0,0
C00019,5,299.5,0,0,0
C00019,6,342.86,0,0,0
C00019,7,267.17,0,0,0
C00019,8,187.0,0,0,0
C00020,1,244.28,0,0,0
C00020,2,459.01,0,0,0
C00020,3,131.39,0,0,0
C00020,4,408.37,0,0,0
